"cluster","tissue","cell_type","count","total","percent"
"0","N","Any Cell",0,682,0
"0","N","Effector/Memory CD8+ T cells",34,682,4.99
"0","N","T or NK Cell",7,682,1.03
"0","N","pDC",0,682,0
"0","N","MAIT cells",0,682,0
"0","N","T regulatory cells",5,682,0.73
"0","N","Exhausted CD8+ T cells",0,682,0
"0","N","CD4 or CD8 T cell",12,682,1.76
"0","N","Blood Cell",97,682,14.22
"0","N","LAMP3 cDC",0,682,0
"0","N","CD4+ T cell",3,682,0.44
"0","N","Normal Tissue Cell",0,682,0
"0","N","Naive CD8+ T cells",0,682,0
"0","N","CD8 T or NK cell",3,682,0.44
"0","N","Pancreatic Cancer Cell",0,682,0
"0","N","CD8+ T cell",2,682,0.29
"0","N","B Cell",0,682,0
"0","N","Endothelial Cells",1,682,0.15
"0","N","cDC1",0,682,0
"0","N","Phagocytosis Macrophage",0,682,0
"0","N","Mast cell",0,682,0
"0","N","Tfh/Th1 helper CD4+ T cells",0,682,0
"0","N","Pro-angiogenesis Macrophage",5,682,0.73
"0","N","Naive CD4+ T cells",41,682,6.01
"0","N","CAFadi",0,682,0
"0","N","Lung Cancer Cell",2,682,0.29
"0","N","CAFmyo",0,682,0
"0","N","CAFinfla",0,682,0
"0","N","Natural killer cell",5,682,0.73
"0","N","Cancer Associated Fibroblasts",0,682,0
"0","N","cDC2",0,682,0
"0","N","Non Blood Cell",0,682,0
"0","N","B cell or Plasmablast",0,682,0
"0","N","Dendritic Cell",0,682,0
"0","N","Pro-inflammatory Macrophage",0,682,0
"0","N","Non Stromal Cell",0,682,0
"0","N","Effector/Memory CD4+ T cells",463,682,67.89
"0","N","Macrophage",1,682,0.15
"0","N","Normal Fibroblast",0,682,0
"0","N","Macrophage or Dendritic Cell",1,682,0.15
"0","N","Stromal Cell",0,682,0
"0","T","Any Cell",0,1086,0
"0","T","Effector/Memory CD8+ T cells",130,1086,11.97
"0","T","T or NK Cell",1,1086,0.09
"0","T","pDC",0,1086,0
"0","T","MAIT cells",0,1086,0
"0","T","T regulatory cells",177,1086,16.3
"0","T","Exhausted CD8+ T cells",6,1086,0.55
"0","T","CD4 or CD8 T cell",65,1086,5.99
"0","T","Blood Cell",23,1086,2.12
"0","T","LAMP3 cDC",0,1086,0
"0","T","CD4+ T cell",473,1086,43.55
"0","T","Normal Tissue Cell",0,1086,0
"0","T","Naive CD8+ T cells",1,1086,0.09
"0","T","CD8 T or NK cell",4,1086,0.37
"0","T","Pancreatic Cancer Cell",0,1086,0
"0","T","CD8+ T cell",51,1086,4.7
"0","T","B Cell",2,1086,0.18
"0","T","Endothelial Cells",0,1086,0
"0","T","cDC1",0,1086,0
"0","T","Phagocytosis Macrophage",0,1086,0
"0","T","Mast cell",0,1086,0
"0","T","Tfh/Th1 helper CD4+ T cells",70,1086,6.45
"0","T","Pro-angiogenesis Macrophage",1,1086,0.09
"0","T","Naive CD4+ T cells",10,1086,0.92
"0","T","CAFadi",0,1086,0
"0","T","Lung Cancer Cell",0,1086,0
"0","T","CAFmyo",0,1086,0
"0","T","CAFinfla",0,1086,0
"0","T","Natural killer cell",3,1086,0.28
"0","T","Cancer Associated Fibroblasts",0,1086,0
"0","T","cDC2",0,1086,0
"0","T","Non Blood Cell",0,1086,0
"0","T","B cell or Plasmablast",0,1086,0
"0","T","Dendritic Cell",0,1086,0
"0","T","Pro-inflammatory Macrophage",0,1086,0
"0","T","Non Stromal Cell",0,1086,0
"0","T","Effector/Memory CD4+ T cells",69,1086,6.35
"0","T","Macrophage",0,1086,0
"0","T","Normal Fibroblast",0,1086,0
"0","T","Macrophage or Dendritic Cell",0,1086,0
"0","T","Stromal Cell",0,1086,0
"1","N","Blood Cell",2,393,0.51
"1","N","Natural killer cell",26,393,6.62
"1","N","Normal Tissue Cell",0,393,0
"1","N","Tfh/Th1 helper CD4+ T cells",0,393,0
"1","N","Non Blood Cell",0,393,0
"1","N","Naive CD8+ T cells",0,393,0
"1","N","B Cell",0,393,0
"1","N","CD4 or CD8 T cell",30,393,7.63
"1","N","cDC2",0,393,0
"1","N","Effector/Memory CD8+ T cells",177,393,45.04
"1","N","CAFadi",0,393,0
"1","N","Dendritic Cell",0,393,0
"1","N","Any Cell",0,393,0
"1","N","B cell or Plasmablast",0,393,0
"1","N","Pancreatic Cancer Cell",0,393,0
"1","N","T or NK Cell",3,393,0.76
"1","N","MAIT cells",2,393,0.51
"1","N","Endothelial Cells",0,393,0
"1","N","T regulatory cells",0,393,0
"1","N","Mast cell",0,393,0
"1","N","Non Stromal Cell",0,393,0
"1","N","Pro-inflammatory Macrophage",0,393,0
"1","N","Naive CD4+ T cells",0,393,0
"1","N","CD4+ T cell",0,393,0
"1","N","Macrophage",0,393,0
"1","N","CAFmyo",0,393,0
"1","N","CAFinfla",0,393,0
"1","N","Effector/Memory CD4+ T cells",129,393,32.82
"1","N","Cancer Associated Fibroblasts",0,393,0
"1","N","Exhausted CD8+ T cells",0,393,0
"1","N","pDC",0,393,0
"1","N","Macrophage or Dendritic Cell",0,393,0
"1","N","Normal Fibroblast",0,393,0
"1","N","Stromal Cell",0,393,0
"1","N","CD8+ T cell",0,393,0
"1","N","CD8 T or NK cell",24,393,6.11
"1","N","Lung Cancer Cell",0,393,0
"1","N","cDC1",0,393,0
"1","N","Phagocytosis Macrophage",0,393,0
"1","N","LAMP3 cDC",0,393,0
"1","N","Pro-angiogenesis Macrophage",0,393,0
"1","T","Blood Cell",0,861,0
"1","T","Natural killer cell",1,861,0.12
"1","T","Normal Tissue Cell",0,861,0
"1","T","Tfh/Th1 helper CD4+ T cells",22,861,2.56
"1","T","Non Blood Cell",0,861,0
"1","T","Naive CD8+ T cells",0,861,0
"1","T","B Cell",0,861,0
"1","T","CD4 or CD8 T cell",48,861,5.57
"1","T","cDC2",0,861,0
"1","T","Effector/Memory CD8+ T cells",173,861,20.09
"1","T","CAFadi",0,861,0
"1","T","Dendritic Cell",0,861,0
"1","T","Any Cell",0,861,0
"1","T","B cell or Plasmablast",0,861,0
"1","T","Pancreatic Cancer Cell",0,861,0
"1","T","T or NK Cell",1,861,0.12
"1","T","MAIT cells",0,861,0
"1","T","Endothelial Cells",0,861,0
"1","T","T regulatory cells",1,861,0.12
"1","T","Mast cell",0,861,0
"1","T","Non Stromal Cell",0,861,0
"1","T","Pro-inflammatory Macrophage",0,861,0
"1","T","Naive CD4+ T cells",0,861,0
"1","T","CD4+ T cell",12,861,1.39
"1","T","Macrophage",0,861,0
"1","T","CAFmyo",0,861,0
"1","T","CAFinfla",0,861,0
"1","T","Effector/Memory CD4+ T cells",5,861,0.58
"1","T","Cancer Associated Fibroblasts",0,861,0
"1","T","Exhausted CD8+ T cells",437,861,50.75
"1","T","pDC",1,861,0.12
"1","T","Macrophage or Dendritic Cell",0,861,0
"1","T","Normal Fibroblast",0,861,0
"1","T","Stromal Cell",0,861,0
"1","T","CD8+ T cell",157,861,18.23
"1","T","CD8 T or NK cell",3,861,0.35
"1","T","Lung Cancer Cell",0,861,0
"1","T","cDC1",0,861,0
"1","T","Phagocytosis Macrophage",0,861,0
"1","T","LAMP3 cDC",0,861,0
"1","T","Pro-angiogenesis Macrophage",0,861,0
"10","N","Blood Cell",0,4,0
"10","N","CD4 or CD8 T cell",0,4,0
"10","N","Pro-angiogenesis Macrophage",0,4,0
"10","N","CAFadi",1,4,25
"10","N","T or NK Cell",0,4,0
"10","N","pDC",0,4,0
"10","N","MAIT cells",0,4,0
"10","N","T regulatory cells",0,4,0
"10","N","Phagocytosis Macrophage",0,4,0
"10","N","Mast cell",0,4,0
"10","N","Tfh/Th1 helper CD4+ T cells",0,4,0
"10","N","cDC2",0,4,0
"10","N","Naive CD4+ T cells",0,4,0
"10","N","CD4+ T cell",0,4,0
"10","N","Pro-inflammatory Macrophage",0,4,0
"10","N","CAFinfla",0,4,0
"10","N","Any Cell",0,4,0
"10","N","Stromal Cell",2,4,50
"10","N","CAFmyo",0,4,0
"10","N","B Cell",0,4,0
"10","N","Non Blood Cell",0,4,0
"10","N","Cancer Associated Fibroblasts",0,4,0
"10","N","B cell or Plasmablast",0,4,0
"10","N","Non Stromal Cell",0,4,0
"10","N","Naive CD8+ T cells",0,4,0
"10","N","CD8 T or NK cell",0,4,0
"10","N","Normal Fibroblast",1,4,25
"10","N","Dendritic Cell",0,4,0
"10","N","CD8+ T cell",0,4,0
"10","N","Effector/Memory CD8+ T cells",0,4,0
"10","N","Effector/Memory CD4+ T cells",0,4,0
"10","N","Natural killer cell",0,4,0
"10","N","Exhausted CD8+ T cells",0,4,0
"10","N","Pancreatic Cancer Cell",0,4,0
"10","N","Normal Tissue Cell",0,4,0
"10","N","cDC1",0,4,0
"10","N","Macrophage or Dendritic Cell",0,4,0
"10","N","Endothelial Cells",0,4,0
"10","N","Macrophage",0,4,0
"10","N","LAMP3 cDC",0,4,0
"10","N","Lung Cancer Cell",0,4,0
"10","T","Blood Cell",0,118,0
"10","T","CD4 or CD8 T cell",0,118,0
"10","T","Pro-angiogenesis Macrophage",0,118,0
"10","T","CAFadi",18,118,15.25
"10","T","T or NK Cell",0,118,0
"10","T","pDC",0,118,0
"10","T","MAIT cells",0,118,0
"10","T","T regulatory cells",0,118,0
"10","T","Phagocytosis Macrophage",0,118,0
"10","T","Mast cell",0,118,0
"10","T","Tfh/Th1 helper CD4+ T cells",0,118,0
"10","T","cDC2",0,118,0
"10","T","Naive CD4+ T cells",0,118,0
"10","T","CD4+ T cell",0,118,0
"10","T","Pro-inflammatory Macrophage",0,118,0
"10","T","CAFinfla",54,118,45.76
"10","T","Any Cell",0,118,0
"10","T","Stromal Cell",0,118,0
"10","T","CAFmyo",44,118,37.29
"10","T","B Cell",0,118,0
"10","T","Non Blood Cell",0,118,0
"10","T","Cancer Associated Fibroblasts",1,118,0.85
"10","T","B cell or Plasmablast",0,118,0
"10","T","Non Stromal Cell",0,118,0
"10","T","Naive CD8+ T cells",0,118,0
"10","T","CD8 T or NK cell",0,118,0
"10","T","Normal Fibroblast",1,118,0.85
"10","T","Dendritic Cell",0,118,0
"10","T","CD8+ T cell",0,118,0
"10","T","Effector/Memory CD8+ T cells",0,118,0
"10","T","Effector/Memory CD4+ T cells",0,118,0
"10","T","Natural killer cell",0,118,0
"10","T","Exhausted CD8+ T cells",0,118,0
"10","T","Pancreatic Cancer Cell",0,118,0
"10","T","Normal Tissue Cell",0,118,0
"10","T","cDC1",0,118,0
"10","T","Macrophage or Dendritic Cell",0,118,0
"10","T","Endothelial Cells",0,118,0
"10","T","Macrophage",0,118,0
"10","T","LAMP3 cDC",0,118,0
"10","T","Lung Cancer Cell",0,118,0
"11","N","Mast cell",0,46,0
"11","N","cDC2",15,46,32.61
"11","N","MAIT cells",0,46,0
"11","N","Naive CD4+ T cells",0,46,0
"11","N","Cancer Associated Fibroblasts",0,46,0
"11","N","Tfh/Th1 helper CD4+ T cells",0,46,0
"11","N","CD8 T or NK cell",0,46,0
"11","N","CAFinfla",0,46,0
"11","N","Dendritic Cell",0,46,0
"11","N","CD8+ T cell",0,46,0
"11","N","CAFmyo",0,46,0
"11","N","Blood Cell",0,46,0
"11","N","CD4 or CD8 T cell",0,46,0
"11","N","Exhausted CD8+ T cells",0,46,0
"11","N","Non Stromal Cell",0,46,0
"11","N","Naive CD8+ T cells",0,46,0
"11","N","Effector/Memory CD4+ T cells",0,46,0
"11","N","Normal Fibroblast",0,46,0
"11","N","Any Cell",0,46,0
"11","N","pDC",0,46,0
"11","N","T regulatory cells",0,46,0
"11","N","cDC1",10,46,21.74
"11","N","Phagocytosis Macrophage",2,46,4.35
"11","N","CAFadi",0,46,0
"11","N","B cell or Plasmablast",0,46,0
"11","N","LAMP3 cDC",6,46,13.04
"11","N","T or NK Cell",0,46,0
"11","N","Natural killer cell",0,46,0
"11","N","CD4+ T cell",0,46,0
"11","N","Normal Tissue Cell",0,46,0
"11","N","B Cell",0,46,0
"11","N","Endothelial Cells",0,46,0
"11","N","Effector/Memory CD8+ T cells",0,46,0
"11","N","Non Blood Cell",0,46,0
"11","N","Pro-angiogenesis Macrophage",6,46,13.04
"11","N","Macrophage or Dendritic Cell",5,46,10.87
"11","N","Macrophage",2,46,4.35
"11","N","Lung Cancer Cell",0,46,0
"11","N","Pro-inflammatory Macrophage",0,46,0
"11","N","Pancreatic Cancer Cell",0,46,0
"11","N","Stromal Cell",0,46,0
"11","T","Mast cell",0,40,0
"11","T","cDC2",19,40,47.5
"11","T","MAIT cells",0,40,0
"11","T","Naive CD4+ T cells",0,40,0
"11","T","Cancer Associated Fibroblasts",0,40,0
"11","T","Tfh/Th1 helper CD4+ T cells",0,40,0
"11","T","CD8 T or NK cell",0,40,0
"11","T","CAFinfla",0,40,0
"11","T","Dendritic Cell",1,40,2.5
"11","T","CD8+ T cell",0,40,0
"11","T","CAFmyo",0,40,0
"11","T","Blood Cell",0,40,0
"11","T","CD4 or CD8 T cell",0,40,0
"11","T","Exhausted CD8+ T cells",0,40,0
"11","T","Non Stromal Cell",0,40,0
"11","T","Naive CD8+ T cells",0,40,0
"11","T","Effector/Memory CD4+ T cells",0,40,0
"11","T","Normal Fibroblast",0,40,0
"11","T","Any Cell",0,40,0
"11","T","pDC",0,40,0
"11","T","T regulatory cells",0,40,0
"11","T","cDC1",4,40,10
"11","T","Phagocytosis Macrophage",0,40,0
"11","T","CAFadi",0,40,0
"11","T","B cell or Plasmablast",0,40,0
"11","T","LAMP3 cDC",12,40,30
"11","T","T or NK Cell",0,40,0
"11","T","Natural killer cell",0,40,0
"11","T","CD4+ T cell",0,40,0
"11","T","Normal Tissue Cell",0,40,0
"11","T","B Cell",0,40,0
"11","T","Endothelial Cells",0,40,0
"11","T","Effector/Memory CD8+ T cells",0,40,0
"11","T","Non Blood Cell",0,40,0
"11","T","Pro-angiogenesis Macrophage",0,40,0
"11","T","Macrophage or Dendritic Cell",1,40,2.5
"11","T","Macrophage",3,40,7.5
"11","T","Lung Cancer Cell",0,40,0
"11","T","Pro-inflammatory Macrophage",0,40,0
"11","T","Pancreatic Cancer Cell",0,40,0
"11","T","Stromal Cell",0,40,0
"12","N","Exhausted CD8+ T cells",0,27,0
"12","N","cDC1",0,27,0
"12","N","Blood Cell",0,27,0
"12","N","LAMP3 cDC",0,27,0
"12","N","CD4 or CD8 T cell",0,27,0
"12","N","CAFadi",0,27,0
"12","N","CD8 T or NK cell",0,27,0
"12","N","T or NK Cell",0,27,0
"12","N","MAIT cells",0,27,0
"12","N","CD8+ T cell",0,27,0
"12","N","T regulatory cells",0,27,0
"12","N","cDC2",0,27,0
"12","N","pDC",0,27,0
"12","N","Endothelial Cells",27,27,100
"12","N","Lung Cancer Cell",0,27,0
"12","N","CD4+ T cell",0,27,0
"12","N","Mast cell",0,27,0
"12","N","CAFinfla",0,27,0
"12","N","Any Cell",0,27,0
"12","N","Effector/Memory CD8+ T cells",0,27,0
"12","N","CAFmyo",0,27,0
"12","N","B Cell",0,27,0
"12","N","Pancreatic Cancer Cell",0,27,0
"12","N","Cancer Associated Fibroblasts",0,27,0
"12","N","Phagocytosis Macrophage",0,27,0
"12","N","Effector/Memory CD4+ T cells",0,27,0
"12","N","Tfh/Th1 helper CD4+ T cells",0,27,0
"12","N","Dendritic Cell",0,27,0
"12","N","Naive CD4+ T cells",0,27,0
"12","N","Macrophage or Dendritic Cell",0,27,0
"12","N","Macrophage",0,27,0
"12","N","Naive CD8+ T cells",0,27,0
"12","N","Normal Tissue Cell",0,27,0
"12","N","B cell or Plasmablast",0,27,0
"12","N","Natural killer cell",0,27,0
"12","N","Non Stromal Cell",0,27,0
"12","N","Non Blood Cell",0,27,0
"12","N","Normal Fibroblast",0,27,0
"12","N","Pro-inflammatory Macrophage",0,27,0
"12","N","Pro-angiogenesis Macrophage",0,27,0
"12","N","Stromal Cell",0,27,0
"12","T","Exhausted CD8+ T cells",0,56,0
"12","T","cDC1",0,56,0
"12","T","Blood Cell",0,56,0
"12","T","LAMP3 cDC",0,56,0
"12","T","CD4 or CD8 T cell",0,56,0
"12","T","CAFadi",0,56,0
"12","T","CD8 T or NK cell",0,56,0
"12","T","T or NK Cell",0,56,0
"12","T","MAIT cells",0,56,0
"12","T","CD8+ T cell",0,56,0
"12","T","T regulatory cells",0,56,0
"12","T","cDC2",0,56,0
"12","T","pDC",0,56,0
"12","T","Endothelial Cells",56,56,100
"12","T","Lung Cancer Cell",0,56,0
"12","T","CD4+ T cell",0,56,0
"12","T","Mast cell",0,56,0
"12","T","CAFinfla",0,56,0
"12","T","Any Cell",0,56,0
"12","T","Effector/Memory CD8+ T cells",0,56,0
"12","T","CAFmyo",0,56,0
"12","T","B Cell",0,56,0
"12","T","Pancreatic Cancer Cell",0,56,0
"12","T","Cancer Associated Fibroblasts",0,56,0
"12","T","Phagocytosis Macrophage",0,56,0
"12","T","Effector/Memory CD4+ T cells",0,56,0
"12","T","Tfh/Th1 helper CD4+ T cells",0,56,0
"12","T","Dendritic Cell",0,56,0
"12","T","Naive CD4+ T cells",0,56,0
"12","T","Macrophage or Dendritic Cell",0,56,0
"12","T","Macrophage",0,56,0
"12","T","Naive CD8+ T cells",0,56,0
"12","T","Normal Tissue Cell",0,56,0
"12","T","B cell or Plasmablast",0,56,0
"12","T","Natural killer cell",0,56,0
"12","T","Non Stromal Cell",0,56,0
"12","T","Non Blood Cell",0,56,0
"12","T","Normal Fibroblast",0,56,0
"12","T","Pro-inflammatory Macrophage",0,56,0
"12","T","Pro-angiogenesis Macrophage",0,56,0
"12","T","Stromal Cell",0,56,0
"13","N","LAMP3 cDC",0,64,0
"13","N","Lung Cancer Cell",61,64,95.31
"13","N","Exhausted CD8+ T cells",0,64,0
"13","N","Macrophage",0,64,0
"13","N","Any Cell",0,64,0
"13","N","B cell or Plasmablast",0,64,0
"13","N","Macrophage or Dendritic Cell",0,64,0
"13","N","B Cell",0,64,0
"13","N","MAIT cells",0,64,0
"13","N","Non Blood Cell",2,64,3.12
"13","N","T regulatory cells",0,64,0
"13","N","Mast cell",0,64,0
"13","N","cDC2",0,64,0
"13","N","Blood Cell",0,64,0
"13","N","Naive CD4+ T cells",0,64,0
"13","N","Dendritic Cell",0,64,0
"13","N","CAFadi",1,64,1.56
"13","N","CD8 T or NK cell",0,64,0
"13","N","CAFinfla",0,64,0
"13","N","cDC1",0,64,0
"13","N","T or NK Cell",0,64,0
"13","N","CAFmyo",0,64,0
"13","N","pDC",0,64,0
"13","N","CD4 or CD8 T cell",0,64,0
