"integration_cluster","cell_type","sample_type","cell_count","cluster_total_cells","pct_within_cluster","cluster_celltype_total","pct_within_cluster_celltype"
0,"B Cell","T",2,1768,0.113122171945701,2,100
0,"Blood Cell","T",23,1768,1.30090497737557,120,19.1666666666667
0,"Blood Cell","N",97,1768,5.48642533936652,120,80.8333333333333
0,"CD4 or CD8 T cell","N",12,1768,0.678733031674208,77,15.5844155844156
0,"CD4 or CD8 T cell","T",65,1768,3.67647058823529,77,84.4155844155844
0,"CD4+ T cell","T",473,1768,26.7533936651584,476,99.3697478991597
0,"CD4+ T cell","N",3,1768,0.169683257918552,476,0.630252100840336
0,"CD8 T or NK cell","T",4,1768,0.226244343891403,7,57.1428571428571
0,"CD8 T or NK cell","N",3,1768,0.169683257918552,7,42.8571428571429
0,"CD8+ T cell","N",2,1768,0.113122171945701,53,3.77358490566038
0,"CD8+ T cell","T",51,1768,2.88461538461538,53,96.2264150943396
0,"Effector/Memory CD4+ T cells","N",463,1768,26.1877828054299,532,87.0300751879699
0,"Effector/Memory CD4+ T cells","T",69,1768,3.9027149321267,532,12.9699248120301
0,"Effector/Memory CD8+ T cells","N",34,1768,1.92307692307692,164,20.7317073170732
0,"Effector/Memory CD8+ T cells","T",130,1768,7.35294117647059,164,79.2682926829268
0,"Endothelial Cells","N",1,1768,0.0565610859728507,1,100
0,"Exhausted CD8+ T cells","T",6,1768,0.339366515837104,6,100
0,"Lung Cancer Cell","N",2,1768,0.113122171945701,2,100
0,"Macrophage","N",1,1768,0.0565610859728507,1,100
0,"Macrophage or Dendritic Cell","N",1,1768,0.0565610859728507,1,100
0,"Naive CD4+ T cells","N",41,1768,2.31900452488688,51,80.3921568627451
0,"Naive CD4+ T cells","T",10,1768,0.565610859728507,51,19.6078431372549
0,"Naive CD8+ T cells","T",1,1768,0.0565610859728507,1,100
0,"Natural killer cell","N",5,1768,0.282805429864253,8,62.5
0,"Natural killer cell","T",3,1768,0.169683257918552,8,37.5
0,"Pro-angiogenesis Macrophage","T",1,1768,0.0565610859728507,6,16.6666666666667
0,"Pro-angiogenesis Macrophage","N",5,1768,0.282805429864253,6,83.3333333333333
0,"T or NK Cell","T",1,1768,0.0565610859728507,8,12.5
0,"T or NK Cell","N",7,1768,0.395927601809955,8,87.5
0,"T regulatory cells","T",177,1768,10.0113122171946,182,97.2527472527473
0,"T regulatory cells","N",5,1768,0.282805429864253,182,2.74725274725275
0,"Tfh/Th1 helper CD4+ T cells","T",70,1768,3.95927601809955,70,100
1,"Blood Cell","N",2,1254,0.159489633173844,2,100
1,"CD4 or CD8 T cell","T",48,1254,3.82775119617225,78,61.5384615384615
1,"CD4 or CD8 T cell","N",30,1254,2.39234449760766,78,38.4615384615385
1,"CD4+ T cell","T",12,1254,0.956937799043062,12,100
1,"CD8 T or NK cell","N",24,1254,1.91387559808612,27,88.8888888888889
1,"CD8 T or NK cell","T",3,1254,0.239234449760766,27,11.1111111111111
1,"CD8+ T cell","T",157,1254,12.5199362041467,157,100
1,"Effector/Memory CD4+ T cells","N",129,1254,10.2870813397129,134,96.2686567164179
1,"Effector/Memory CD4+ T cells","T",5,1254,0.398724082934609,134,3.73134328358209
1,"Effector/Memory CD8+ T cells","N",177,1254,14.1148325358852,350,50.5714285714286
1,"Effector/Memory CD8+ T cells","T",173,1254,13.7958532695375,350,49.4285714285714
1,"Exhausted CD8+ T cells","T",437,1254,34.8484848484849,437,100
1,"MAIT cells","N",2,1254,0.159489633173844,2,100
1,"Natural killer cell","T",1,1254,0.0797448165869219,27,3.7037037037037
1,"Natural killer cell","N",26,1254,2.07336523125997,27,96.2962962962963
1,"pDC","T",1,1254,0.0797448165869219,1,100
1,"T or NK Cell","N",3,1254,0.239234449760766,4,75
1,"T or NK Cell","T",1,1254,0.0797448165869219,4,25
1,"T regulatory cells","T",1,1254,0.0797448165869219,1,100
1,"Tfh/Th1 helper CD4+ T cells","T",22,1254,1.75438596491228,22,100
10,"CAFadi","N",1,122,0.819672131147541,19,5.26315789473684
10,"CAFadi","T",18,122,14.7540983606557,19,94.7368421052632
10,"CAFinfla","T",54,122,44.2622950819672,54,100
10,"CAFmyo","T",44,122,36.0655737704918,44,100
10,"Cancer Associated Fibroblasts","T",1,122,0.819672131147541,1,100
10,"Normal Fibroblast","N",1,122,0.819672131147541,2,50
10,"Normal Fibroblast","T",1,122,0.819672131147541,2,50
10,"Stromal Cell","N",2,122,1.63934426229508,2,100
11,"cDC1","N",10,86,11.6279069767442,14,71.4285714285714
11,"cDC1","T",4,86,4.65116279069767,14,28.5714285714286
11,"cDC2","T",19,86,22.093023255814,34,55.8823529411765
11,"cDC2","N",15,86,17.4418604651163,34,44.1176470588235
11,"Dendritic Cell","T",1,86,1.16279069767442,1,100
11,"LAMP3 cDC","N",6,86,6.97674418604651,18,33.3333333333333
11,"LAMP3 cDC","T",12,86,13.953488372093,18,66.6666666666667
11,"Macrophage","T",3,86,3.48837209302326,5,60
11,"Macrophage","N",2,86,2.32558139534884,5,40
11,"Macrophage or Dendritic Cell","N",5,86,5.81395348837209,6,83.3333333333333
11,"Macrophage or Dendritic Cell","T",1,86,1.16279069767442,6,16.6666666666667
11,"Phagocytosis Macrophage","N",2,86,2.32558139534884,2,100
11,"Pro-angiogenesis Macrophage","N",6,86,6.97674418604651,6,100
12,"Endothelial Cells","N",27,83,32.5301204819277,83,32.5301204819277
12,"Endothelial Cells","T",56,83,67.4698795180723,83,67.4698795180723
13,"CAFadi","N",1,68,1.47058823529412,1,100
13,"Lung Cancer Cell","N",61,68,89.7058823529412,61,100
13,"Non Blood Cell","N",2,68,2.94117647058824,2,100
13,"Non Stromal Cell","T",3,68,4.41176470588235,3,100
13,"Pancreatic Cancer Cell","T",1,68,1.47058823529412,1,100
14,"Blood Cell","N",1,44,2.27272727272727,2,50
14,"Blood Cell","T",1,44,2.27272727272727,2,50
14,"Mast cell","N",10,44,22.7272727272727,41,24.390243902439
14,"Mast cell","T",31,44,70.4545454545455,41,75.609756097561
14,"Tfh/Th1 helper CD4+ T cells","T",1,44,2.27272727272727,1,100
15,"pDC","T",16,37,43.2432432432432,37,43.2432432432432
15,"pDC","N",21,37,56.7567567567568,37,56.7567567567568
2,"Macrophage","N",23,1137,2.02286719437115,111,20.7207207207207
2,"Macrophage","T",88,1137,7.73966578715919,111,79.2792792792793
2,"Macrophage or Dendritic Cell","T",2,1137,0.175901495162709,2,100
2,"Phagocytosis Macrophage","T",155,1137,13.6323658751099,182,85.1648351648352
2,"Phagocytosis Macrophage","N",27,1137,2.37467018469657,182,14.8351648351648
2,"Pro-angiogenesis Macrophage","T",6,1137,0.527704485488127,842,0.712589073634204
2,"Pro-angiogenesis Macrophage","N",836,1137,73.5268249780123,842,99.2874109263658
3,"Macrophage","T",32,796,4.02010050251256,41,78.0487804878049
3,"Macrophage","N",9,796,1.13065326633166,41,21.9512195121951
3,"Phagocytosis Macrophage","T",13,796,1.63316582914573,13,100
3,"Pro-angiogenesis Macrophage","T",17,796,2.1356783919598,742,2.2911051212938
3,"Pro-angiogenesis Macrophage","N",725,796,91.0804020100502,742,97.7088948787062
4,"Any Cell","N",4,760,0.526315789473684,10,40
4,"Any Cell","T",6,760,0.789473684210526,10,60
4,"B Cell","T",13,760,1.71052631578947,13,100
4,"Blood Cell","N",20,760,2.63157894736842,73,27.3972602739726
4,"Blood Cell","T",53,760,6.97368421052632,73,72.6027397260274
4,"CD4 or CD8 T cell","T",6,760,0.789473684210526,6,100
4,"CD4+ T cell","T",16,760,2.10526315789474,16,100
4,"Effector/Memory CD4+ T cells","N",1,760,0.131578947368421,1,100
4,"Effector/Memory CD8+ T cells","T",4,760,0.526315789473684,6,66.6666666666667
4,"Effector/Memory CD8+ T cells","N",2,760,0.263157894736842,6,33.3333333333333
4,"Exhausted CD8+ T cells","T",1,760,0.131578947368421,1,100
4,"Macrophage","N",128,760,16.8421052631579,335,38.2089552238806
4,"Macrophage","T",207,760,27.2368421052632,335,61.7910447761194
4,"Macrophage or Dendritic Cell","T",1,760,0.131578947368421,1,100
4,"Naive CD4+ T cells","T",4,760,0.526315789473684,26,15.3846153846154
4,"Naive CD4+ T cells","N",22,760,2.89473684210526,26,84.6153846153846
4,"Natural killer cell","N",3,760,0.394736842105263,3,100
4,"Non Blood Cell","T",1,760,0.131578947368421,1,100
4,"Phagocytosis Macrophage","T",74,760,9.73684210526316,93,79.5698924731183
4,"Phagocytosis Macrophage","N",19,760,2.5,93,20.4301075268817
4,"Pro-angiogenesis Macrophage","N",167,760,21.9736842105263,175,95.4285714285714
4,"Pro-angiogenesis Macrophage","T",8,760,1.05263157894737,175,4.57142857142857
5,"B Cell","T",685,740,92.5675675675676,685,100
5,"Blood Cell","N",16,740,2.16216216216216,33,48.4848484848485
5,"Blood Cell","T",17,740,2.2972972972973,33,51.5151515151515
5,"CD4+ T cell","T",1,740,0.135135135135135,1,100
5,"CD8+ T cell","T",1,740,0.135135135135135,1,100
5,"Effector/Memory CD4+ T cells","T",1,740,0.135135135135135,1,100
5,"Effector/Memory CD8+ T cells","T",1,740,0.135135135135135,1,100
5,"Exhausted CD8+ T cells","T",1,740,0.135135135135135,1,100
5,"Macrophage","N",2,740,0.27027027027027,3,66.6666666666667
5,"Macrophage","T",1,740,0.135135135135135,3,33.3333333333333
5,"Macrophage or Dendritic Cell","T",1,740,0.135135135135135,1,100
5,"pDC","T",3,740,0.405405405405405,3,100
5,"Pro-angiogenesis Macrophage","N",9,740,1.21621621621622,10,90
5,"Pro-angiogenesis Macrophage","T",1,740,0.135135135135135,10,10
6,"CD8 T or NK cell","T",2,460,0.434782608695652,5,40
6,"CD8 T or NK cell","N",3,460,0.652173913043478,5,60
6,"CD8+ T cell","T",2,460,0.434782608695652,2,100
6,"Effector/Memory CD8+ T cells","N",3,460,0.652173913043478,16,18.75
6,"Effector/Memory CD8+ T cells","T",13,460,2.82608695652174,16,81.25
6,"Exhausted CD8+ T cells","T",8,460,1.73913043478261,8,100
6,"Natural killer cell","T",58,460,12.6086956521739,428,13.5514018691589
6,"Natural killer cell","N",370,460,80.4347826086957,428,86.4485981308411
6,"Pro-angiogenesis Macrophage","N",1,460,0.217391304347826,1,100
7,"Macrophage","N",85,310,27.4193548387097,130,65.3846153846154
7,"Macrophage","T",45,310,14.5161290322581,130,34.6153846153846
7,"Macrophage or Dendritic Cell","T",8,310,2.58064516129032,8,100
7,"Phagocytosis Macrophage","T",1,310,0.32258064516129,1,100
7,"Pro-angiogenesis Macrophage","N",106,310,34.1935483870968,112,94.6428571428571
7,"Pro-angiogenesis Macrophage","T",6,310,1.93548387096774,112,5.35714285714286
7,"Pro-inflammatory Macrophage","T",4,310,1.29032258064516,59,6.77966101694915
7,"Pro-inflammatory Macrophage","N",55,310,17.741935483871,59,93.2203389830508
8,"Any Cell","N",12,306,3.92156862745098,21,57.1428571428571
8,"Any Cell","T",9,306,2.94117647058824,21,42.8571428571429
8,"Blood Cell","T",1,306,0.326797385620915,1,100
8,"CAFadi","T",2,306,0.65359477124183,8,25
8,"CAFadi","N",6,306,1.96078431372549,8,75
8,"CAFinfla","N",3,306,0.980392156862745,16,18.75
8,"CAFinfla","T",13,306,4.2483660130719,16,81.25
8,"CAFmyo","T",4,306,1.30718954248366,4,100
8,"Cancer Associated Fibroblasts","T",14,306,4.57516339869281,15,93.3333333333333
8,"Cancer Associated Fibroblasts","N",1,306,0.326797385620915,15,6.66666666666667
8,"Endothelial Cells","N",7,306,2.28758169934641,12,58.3333333333333
8,"Endothelial Cells","T",5,306,1.63398692810458,12,41.6666666666667
8,"Lung Cancer Cell","N",59,306,19.281045751634,59,100
8,"Macrophage","N",1,306,0.326797385620915,4,25
8,"Macrophage","T",3,306,0.980392156862745,4,75
8,"Non Blood Cell","N",18,306,5.88235294117647,36,50
8,"Non Blood Cell","T",18,306,5.88235294117647,36,50
8,"Non Stromal Cell","N",1,306,0.326797385620915,10,10
8,"Non Stromal Cell","T",9,306,2.94117647058824,10,90
8,"Normal Fibroblast","N",21,306,6.86274509803922,31,67.741935483871
8,"Normal Fibroblast","T",10,306,3.26797385620915,31,32.258064516129
8,"Normal Tissue Cell","T",6,306,1.96078431372549,6,100
8,"Pancreatic Cancer Cell","T",69,306,22.5490196078431,69,100
8,"Phagocytosis Macrophage","N",1,306,0.326797385620915,1,100
8,"Pro-angiogenesis Macrophage","N",3,306,0.980392156862745,3,100
8,"Stromal Cell","T",1,306,0.326797385620915,8,12.5
8,"Stromal Cell","N",7,306,2.28758169934641,8,87.5
8,"Tfh/Th1 helper CD4+ T cells","T",2,306,0.65359477124183,2,100
9,"Any Cell","T",1,182,0.549450549450549,1,100
9,"B Cell","T",4,182,2.1978021978022,4,100
9,"B cell or Plasmablast","T",1,182,0.549450549450549,1,100
9,"Blood Cell","N",1,182,0.549450549450549,3,33.3333333333333
9,"Blood Cell","T",2,182,1.0989010989011,3,66.6666666666667
9,"CD4 or CD8 T cell","T",7,182,3.84615384615385,7,100
9,"CD4+ T cell","T",2,182,1.0989010989011,3,66.6666666666667
9,"CD4+ T cell","N",1,182,0.549450549450549,3,33.3333333333333
9,"CD8 T or NK cell","T",1,182,0.549450549450549,1,100
9,"CD8+ T cell","T",16,182,8.79120879120879,16,100
9,"cDC1","T",3,182,1.64835164835165,3,100
9,"cDC2","T",2,182,1.0989010989011,2,100
9,"Effector/Memory CD4+ T cells","N",1,182,0.549450549450549,1,100
9,"Effector/Memory CD8+ T cells","T",6,182,3.2967032967033,6,100
9,"Exhausted CD8+ T cells","T",65,182,35.7142857142857,65,100
9,"Macrophage","T",12,182,6.59340659340659,12,100
9,"Macrophage or Dendritic Cell","T",1,182,0.549450549450549,1,100
9,"Natural killer cell","T",2,182,1.0989010989011,5,40
9,"Natural killer cell","N",3,182,1.64835164835165,5,60
9,"Phagocytosis Macrophage","T",5,182,2.74725274725275,5,100
9,"Pro-angiogenesis Macrophage","T",1,182,0.549450549450549,32,3.125
9,"Pro-angiogenesis Macrophage","N",31,182,17.032967032967,32,96.875
9,"T regulatory cells","T",9,182,4.94505494505495,9,100
9,"Tfh/Th1 helper CD4+ T cells","T",5,182,2.74725274725275,5,100
